NYSE Holidays;;;;;;
Source: https://www.nyse.com/markets/hours-calendars;;;;;;Source: http://www.stock-options-made-easy.com/stock-market-calendar-2010-2011.html
;;;;;;
Holidays - All Markets;;;;;;Regarding Holidays on Weekends
;;;;;;
All NYSE markets observe U.S. holidays as listed below for 2017, 2018 and 2019.;;;;;;"* New Years' Day (January 1) in 2011 falls on a Saturday. The rules of the applicable exchanges state that when a holiday falls on a Saturday, the preceding Friday is observed unless the Friday is the end of a monthly or yearly accounting period. In this case, Friday, December 31, 2010 is the end of both a monthly and yearly accounting period; therefore the exchanges will be open that day and the following Monday."
;;;;;;
HOLIDAY;2017;2018;2019;;;
New Year's Day;Monday, January 1;Monday, January 1;Tuesday, January 1;;;
;(Observed Monday, January 2);;;;;
Martin Luther King Day;Monday, January 16;Monday, January 15;Monday, January 21;;;
Presidents' Day;Monday, February 20;Monday, February 19;Monday, February 18;;;
Good Friday;Friday, April 14;Friday, March 30;Friday, April 19;;;Special Stock Market Holiday Rules
Memorial Day;Monday, May 29;Monday, May 28;Monday, May 27;;;
Independence Day;Tuesday, July 4*;Wednesday, July 4*;Thursday, July 4*;;;There are a few special rules that apply to stock market holidays:
Labor Day;Monday, September 4;Monday, September 3;Monday, September 2;;;> Although the day after Thanksgiving (Friday) is not an official holiday, the market has a tradition of closing at 1:00 p.m. ET.
Thanksgiving Day;Thursday, November 23**;Thursday, November 22**;Thursday, November 28**;;;> When any stock market holiday falls on a Saturday, the market will be closed on the previous day (Friday) unless the Friday is the end of a monthly or yearly accounting period.
Christmas Day;Monday, December 25;Tuesday, December 25***;Wednesday, December 25***;;;
;;;;;;
* Each market will close early at 1:00 p.m. (1:15 p.m. for eligible options) on Monday, July 3, 2017, Tuesday, July 3, 2018, and Wednesday, July 3, 2019. Crossing Session orders will be accepted beginning at 1:00 p.m. for continuous executions until 1:30 p.m. on this date. All times are Eastern Time.;;;;;;> When any stock market holiday falls on a Sunday, the market will be closed the next day (Monday).
;;;;;;
** Each market will close early at 1:00 p.m. (1:15 p.m. for eligible options) on Friday, November 24, 2017, Friday, November 23, 2018, and Friday, November 29, 2019 (the day after Thanksgiving). Crossing Session orders will be accepted beginning at 1:00 p.m. for continuous executions until 1:30 p.m. on these dates. All times are Eastern Time.;;;;;;
;;;;;;
*** Each market will close early at 1:00 p.m. (1:15 p.m. for eligible options) on Monday, December 24, 2018 and Tuesday, December 24, 2019. Crossing Session orders will be accepted beginning at 1:00 p.m. for continuous executions until 1:30 p.m. on this date. All times are Eastern Time.;;;;;;
;;;;;;
