DAY_DATE;DAY_INT;HOLIDAY_NAME;WEEKDAY;HOLIDAY_DATE_SRC;IS_HOL;IS_FRB_BANK_OBS_HOL;IS_NYSE_OBS_HOL;IS_US_FEDERAL_OBS_HOL
1/1/10;20100101;New Year's Day;Friday;https://www.timeanddate.com/holidays/us/new-year-day;1;1;1;1
1/18/10;20100118;Martin Luther King Day;Monday;https://www.timeanddate.com/holidays/us/martin-luther-king-day;1;1;1;1
2/15/10;20100215;Presidents' Day;Monday;https://www.timeanddate.com/holidays/us/washington-birthday;1;1;1;1
4/2/10;20100402;Good Friday;Friday;https://www.timeanddate.com/holidays/us/good-friday;1;0;1;0
5/31/10;20100531;Memorial Day;Monday;https://www.timeanddate.com/holidays/us/memorial-day;1;1;1;1
7/4/10;20100704;Independence Day;Sunday;https://www.timeanddate.com/holidays/us/independence-day;1;0;0;0
7/5/10;20100705;Independence Day (observed);Monday;https://www.timeanddate.com/holidays/us/independence-day;1;1;1;1
9/6/10;20100906;Labor Day;Monday;https://www.timeanddate.com/holidays/us/labor-day;1;1;1;1
10/11/10;20101011;Columbus Day;Monday;https://www.timeanddate.com/holidays/us/columbus-day;1;1;0;1
11/11/10;20101111;Veterans Day;Thursday;https://www.timeanddate.com/holidays/us/veterans-day;1;1;0;1
11/25/10;20101125;Thanksgiving Day;Thursday;https://www.timeanddate.com/holidays/us/thanksgiving-day;1;1;1;1
12/24/10;20101224;Christmas Day (observed);Friday;https://www.timeanddate.com/holidays/us/christmas-day;1;0;1;1
12/25/10;20101225;Christmas Day;Saturday;https://www.timeanddate.com/holidays/us/christmas-day;1;0;0;0
12/31/10;20101231;New Year's Day (observed);Friday;https://www.timeanddate.com/holidays/us/new-year-day;1;0;0;1
1/1/11;20110101;New Year's Day;Saturday;https://www.timeanddate.com/holidays/us/new-year-day;1;0;0;0
1/17/11;20110117;Martin Luther King Day;Monday;https://www.timeanddate.com/holidays/us/martin-luther-king-day;1;1;1;1
2/21/11;20110221;Presidents' Day;Monday;https://www.timeanddate.com/holidays/us/washington-birthday;1;1;1;1
4/22/11;20110422;Good Friday;Friday;https://www.timeanddate.com/holidays/us/good-friday;1;0;1;0
5/30/11;20110530;Memorial Day;Monday;https://www.timeanddate.com/holidays/us/memorial-day;1;1;1;1
7/4/11;20110704;Independence Day;Monday;https://www.timeanddate.com/holidays/us/independence-day;1;1;1;1
9/5/11;20110905;Labor Day;Monday;https://www.timeanddate.com/holidays/us/labor-day;1;1;1;1
10/10/11;20111010;Columbus Day;Monday;https://www.timeanddate.com/holidays/us/columbus-day;1;1;0;1
11/11/11;20111111;Veterans Day;Friday;https://www.timeanddate.com/holidays/us/veterans-day;1;1;0;1
11/24/11;20111124;Thanksgiving Day;Thursday;https://www.timeanddate.com/holidays/us/thanksgiving-day;1;1;1;1
12/25/11;20111225;Christmas Day;Sunday;https://www.timeanddate.com/holidays/us/christmas-day;1;0;0;0
12/26/11;20111226;Christmas Day (observed);Monday;https://www.timeanddate.com/holidays/us/christmas-day;1;1;1;1
1/1/12;20120101;New Year's Day;Sunday;https://www.timeanddate.com/holidays/us/new-year-day;1;0;0;0
1/2/12;20120102;New Year's Day (observed);Monday;https://www.timeanddate.com/holidays/us/new-year-day;1;1;1;1
1/16/12;20120116;Martin Luther King Day;Monday;https://www.timeanddate.com/holidays/us/martin-luther-king-day;1;1;1;1
2/20/12;20120220;Presidents' Day;Monday;https://www.timeanddate.com/holidays/us/washington-birthday;1;1;1;1
4/6/12;20120406;Good Friday;Friday;https://www.timeanddate.com/holidays/us/good-friday;1;0;1;0
5/28/12;20120528;Memorial Day;Monday;https://www.timeanddate.com/holidays/us/memorial-day;1;1;1;1
7/4/12;20120704;Independence Day;Wednesday;https://www.timeanddate.com/holidays/us/independence-day;1;1;1;1
9/3/12;20120903;Labor Day;Monday;https://www.timeanddate.com/holidays/us/labor-day;1;1;1;1
10/8/12;20121008;Columbus Day;Monday;https://www.timeanddate.com/holidays/us/columbus-day;1;1;0;1
11/11/12;20121111;Veterans Day;Sunday;https://www.timeanddate.com/holidays/us/veterans-day;1;0;0;0
11/12/12;20121112;Veterans Day (observed);Monday;https://www.timeanddate.com/holidays/us/veterans-day;1;1;0;1
11/22/12;20121122;Thanksgiving Day;Thursday;https://www.timeanddate.com/holidays/us/thanksgiving-day;1;1;1;1
12/25/12;20121225;Christmas Day;Tuesday;https://www.timeanddate.com/holidays/us/christmas-day;1;1;1;1
1/1/13;20130101;New Year's Day;Tuesday;https://www.timeanddate.com/holidays/us/new-year-day;1;1;1;1
1/21/13;20130121;Martin Luther King Day;Monday;https://www.timeanddate.com/holidays/us/martin-luther-king-day;1;1;1;1
2/18/13;20130218;Presidents' Day;Monday;https://www.timeanddate.com/holidays/us/washington-birthday;1;1;1;1
3/29/13;20130329;Good Friday;Friday;https://www.timeanddate.com/holidays/us/good-friday;1;0;1;0
5/27/13;20130527;Memorial Day;Monday;https://www.timeanddate.com/holidays/us/memorial-day;1;1;1;1
7/4/13;20130704;Independence Day;Thursday;https://www.timeanddate.com/holidays/us/independence-day;1;1;1;1
9/2/13;20130902;Labor Day;Monday;https://www.timeanddate.com/holidays/us/labor-day;1;1;1;1
10/14/13;20131014;Columbus Day;Monday;https://www.timeanddate.com/holidays/us/columbus-day;1;1;0;1
11/11/13;20131111;Veterans Day;Monday;https://www.timeanddate.com/holidays/us/veterans-day;1;1;0;1
11/28/13;20131128;Thanksgiving Day;Thursday;https://www.timeanddate.com/holidays/us/thanksgiving-day;1;1;1;1
12/25/13;20131225;Christmas Day;Wednesday;https://www.timeanddate.com/holidays/us/christmas-day;1;1;1;1
1/1/14;20140101;New Year's Day;Wednesday;https://www.timeanddate.com/holidays/us/new-year-day;1;1;1;1
1/20/14;20140120;Martin Luther King Day;Monday;https://www.timeanddate.com/holidays/us/martin-luther-king-day;1;1;1;1
2/17/14;20140217;Presidents' Day;Monday;https://www.timeanddate.com/holidays/us/washington-birthday;1;1;1;1
4/18/14;20140418;Good Friday;Friday;https://www.timeanddate.com/holidays/us/good-friday;1;0;1;0
5/26/14;20140526;Memorial Day;Monday;https://www.timeanddate.com/holidays/us/memorial-day;1;1;1;1
7/4/14;20140704;Independence Day;Friday;https://www.timeanddate.com/holidays/us/independence-day;1;1;1;1
9/1/14;20140901;Labor Day;Monday;https://www.timeanddate.com/holidays/us/labor-day;1;1;1;1
10/13/14;20141013;Columbus Day;Monday;https://www.timeanddate.com/holidays/us/columbus-day;1;1;0;1
11/11/14;20141111;Veterans Day;Tuesday;https://www.timeanddate.com/holidays/us/veterans-day;1;1;0;1
11/27/14;20141127;Thanksgiving Day;Thursday;https://www.timeanddate.com/holidays/us/thanksgiving-day;1;1;1;1
12/25/14;20141225;Christmas Day;Thursday;https://www.timeanddate.com/holidays/us/christmas-day;1;1;1;1
1/1/15;20150101;New Year's Day;Thursday;https://www.timeanddate.com/holidays/us/new-year-day;1;1;1;1
1/19/15;20150119;Martin Luther King Day;Monday;https://www.timeanddate.com/holidays/us/martin-luther-king-day;1;1;1;1
2/16/15;20150216;Presidents' Day;Monday;https://www.timeanddate.com/holidays/us/washington-birthday;1;1;1;1
4/3/15;20150403;Good Friday;Friday;https://www.timeanddate.com/holidays/us/good-friday;1;0;1;0
5/25/15;20150525;Memorial Day;Monday;https://www.timeanddate.com/holidays/us/memorial-day;1;1;1;1
7/3/15;20150703;Independence Day (observed);Friday;https://www.timeanddate.com/holidays/us/independence-day;1;0;1;1
7/4/15;20150704;Independence Day;Saturday;https://www.timeanddate.com/holidays/us/independence-day;1;0;0;0
9/7/15;20150907;Labor Day;Monday;https://www.timeanddate.com/holidays/us/labor-day;1;1;1;1
10/12/15;20151012;Columbus Day;Monday;https://www.timeanddate.com/holidays/us/columbus-day;1;1;0;1
11/11/15;20151111;Veterans Day;Wednesday;https://www.timeanddate.com/holidays/us/veterans-day;1;1;0;1
11/26/15;20151126;Thanksgiving Day;Thursday;https://www.timeanddate.com/holidays/us/thanksgiving-day;1;1;1;1
12/25/15;20151225;Christmas Day;Friday;https://www.timeanddate.com/holidays/us/christmas-day;1;1;1;1
1/1/16;20160101;New Year's Day;Friday;https://www.timeanddate.com/holidays/us/new-year-day;1;1;1;1
1/18/16;20160118;Martin Luther King Day;Monday;https://www.timeanddate.com/holidays/us/martin-luther-king-day;1;1;1;1
2/15/16;20160215;Presidents' Day;Monday;https://www.timeanddate.com/holidays/us/washington-birthday;1;1;1;1
3/25/16;20160325;Good Friday;Friday;https://www.timeanddate.com/holidays/us/good-friday;1;0;1;0
5/30/16;20160530;Memorial Day;Monday;https://www.timeanddate.com/holidays/us/memorial-day;1;1;1;1
7/4/16;20160704;Independence Day;Monday;https://www.timeanddate.com/holidays/us/independence-day;1;1;1;1
9/5/16;20160905;Labor Day;Monday;https://www.timeanddate.com/holidays/us/labor-day;1;1;1;1
10/10/16;20161010;Columbus Day;Monday;https://www.timeanddate.com/holidays/us/columbus-day;1;1;0;1
