"","depart","arrive","distance","nbcom"
"1","ATL","ATL","0.0",1
"2","ATL","BOS","1,522.6",2
"3","ATL","CLT","365.0",3
"4","ATL","DEN","1,930.0",4
"5","ATL","DFW","1,177.0",5
"6","ATL","DTW","956.5",6
"7","ATL","EWR","1,199.9",7
"8","ATL","IAH","1,109.1",8
"9","ATL","JFK","1,222.8",9
"10","ATL","LAS","2,811.0",10
"11","ATL","LAX","3,132.5",11
"12","ATL","LGA","1,225.5",12
"13","ATL","MCO","649.5",13
"14","ATL","MIA","956.9",14
"15","ATL","MSP","1,459.0",15
"16","ATL","ORD","975.0",16
"17","ATL","PHL","1,072.1",17
"18","ATL","PHX","2,554.5",18
"19","ATL","SEA","3,511.3",19
"20","ATL","SFO","3,442.2",20
"21","BOS","ATL","1,522.6",21
"22","BOS","BOS","0.0",22
"23","BOS","CLT","1,171.3",23
"24","BOS","DEN","2,822.9",24
"25","BOS","DFW","2,513.4",25
"26","BOS","DTW","1,017.7",26
"27","BOS","EWR","322.7",27
"28","BOS","IAH","2,570.3",28
"29","BOS","JFK","300.5",29
"30","BOS","LAS","3,831.6",30
"31","BOS","LAX","4,202.2",31
"32","BOS","LGA","297.1",32
"33","BOS","MCO","1,804.1",33
"34","BOS","MIA","2,025.0",34
"35","BOS","MSP","1,809.0",35
"36","BOS","ORD","1,394.7",36
"37","BOS","PHL","450.7",37
"38","BOS","PHX","3,701.4",38
"39","BOS","SEA","4,016.4",39
"40","BOS","SFO","4,351.8",40
"41","CLT","ATL","365.0",41
"42","CLT","BOS","1,171.3",42
"43","CLT","CLT","0.0",43
"44","CLT","DEN","2,152.8",44
"45","CLT","DFW","1,506.3",45
"46","CLT","DTW","804.6",46
"47","CLT","EWR","850.5",47
"48","CLT","IAH","1,468.9",48
"49","CLT","JFK","870.9",49
"50","CLT","LAS","3,083.5",50
"51","CLT","LAX","3,420.0",51
"52","CLT","LGA","875.2",52
"53","CLT","MCO","753.1",53
"54","CLT","MIA","1,046.3",54
"55","CLT","MSP","1,496.8",55
"56","CLT","ORD","964.5",56
"57","CLT","PHL","721.6",57
"58","CLT","PHX","2,854.5",58
"59","CLT","SEA","3,667.9",59
"60","CLT","SFO","3,695.4",60
"61","DEN","ATL","1,930.0",61
"62","DEN","BOS","2,822.9",62
"63","DEN","CLT","2,152.8",63
"64","DEN","DEN","0.0",64
"65","DEN","DFW","1,031.9",65
"66","DEN","DTW","1,806.8",66
"67","DEN","EWR","2,582.9",67
"68","DEN","IAH","1,386.7",68
"69","DEN","JFK","2,616.4",69
"70","DEN","LAS","1,011.1",70
"71","DEN","LAX","1,387.0",71
"72","DEN","LGA","2,606.4",72
"73","DEN","MCO","2,488.8",73
"74","DEN","MIA","2,750.3",74
"75","DEN","MSP","1,094.2",75
"76","DEN","ORD","1,429.5",76
"77","DEN","PHL","2,506.7",77
"78","DEN","PHX","968.5",78
"79","DEN","SEA","1,648.0",79
"80","DEN","SFO","1,556.4",80
"81","DFW","ATL","1,177.0",81
"82","DFW","BOS","2,513.4",82
"83","DFW","CLT","1,506.3",83
"84","DFW","DEN","1,031.9",84
"85","DFW","DFW","0.0",85
"86","DFW","DTW","1,587.3",86
"87","DFW","EWR","2,208.4",87
"88","DFW","IAH","360.9",88
"89","DFW","JFK","2,238.7",89
"90","DFW","LAS","1,698.2",90
"91","DFW","LAX","1,987.4",91
"92","DFW","LGA","2,235.1",92
"93","DFW","MCO","1,584.8",93
"94","DFW","MIA","1,803.9",94
"95","DFW","MSP","1,370.7",95
"96","DFW","ORD","1,290.3",96
"97","DFW","PHL","2,096.4",97
"98","DFW","PHX","1,396.8",98
"99","DFW","SEA","2,671.0",99
"100","DFW","SFO","2,356.7",100
"101","DTW","ATL","956.5",101
"102","DTW","BOS","1,017.7",102
"103","DTW","CLT","804.6",103
"104","DTW","DEN","1,806.8",104
"105","DTW","DFW","1,587.3",105
"106","DTW","DTW","0.0",106
"107","DTW","EWR","785.4",107
"108","DTW","IAH","1,730.2",108
"109","DTW","JFK","818.7",109
"110","DTW","LAS","2,814.3",110
"111","DTW","LAX","3,184.5",111
"112","DTW","LGA","807.1",112
"113","DTW","MCO","1,540.3",113
"114","DTW","MIA","1,842.8",114
"115","DTW","MSP","850.2",115
"116","DTW","ORD","377.4",116
"117","DTW","PHL","729.6",117
"118","DTW","PHX","2,688.9",118
"119","DTW","SEA","3,101.3",119
"120","DTW","SFO","3,345.4",120
"121","EWR","ATL","1,199.9",121
"122","EWR","BOS","322.7",122
"123","EWR","CLT","850.5",123
"124","EWR","DEN","2,582.9",124
"125","EWR","DFW","2,208.4",125
"126","EWR","DTW","785.4",126
"127","EWR","EWR","0.0",127
"128","EWR","IAH","2,252.8",128
"129","EWR","JFK","33.5",129
"130","EWR","LAS","3,584.4",130
"131","EWR","LAX","3,949.7",131
"132","EWR","LGA","26.7",132
"133","EWR","MCO","1,508.6",133
"134","EWR","MIA","1,747.0",134
"135","EWR","MSP","1,622.6",135
"136","EWR","ORD","1,157.4",136
"137","EWR","PHL","128.9",137
"138","EWR","PHX","3,432.5",138
"139","EWR","SEA","3,864.9",139
"140","EWR","SFO","4,128.4",140
"141","IAH","ATL","1,109.1",141
"142","IAH","BOS","2,570.3",142
"143","IAH","CLT","1,468.9",143
"144","IAH","DEN","1,386.7",144
"145","IAH","DFW","360.9",145
"146","IAH","DTW","1,730.2",146
"147","IAH","EWR","2,252.8",147
"148","IAH","IAH","0.0",148
"149","IAH","JFK","2,280.2",149
"150","IAH","LAS","1,965.9",150
"151","IAH","LAX","2,219.2",151
"152","IAH","LGA","2,279.4",152
"153","IAH","MCO","1,374.5",153
"154","IAH","MIA","1,551.6",154
